frame,object,confidence,x1,x2,y1,y2,bb_area
1,laptop,0.85,1,500,528,719,95309
1,bed,0.33,451,959,358,719,183388
1,bed,0.33,5,958,353,719,348798
2,laptop,0.43,1,578,537,719,105014
2,cell phone,0.31,2,579,537,719,105014
2,laptop,0.26,1,911,503,719,196560
3,chair,0.66,590,821,498,719,51051
4,chair,0.47,329,534,400,648,50840
6,pottedplant,0.38,318,438,473,624,18120
7,person,0.51,752,891,595,719,17236
7,refrigerator,0.51,496,718,428,719,64602
7,pottedplant,0.5,651,775,491,664,21452
9,pottedplant,0.55,227,352,439,624,23125
